NODE_LIST 1 2 3 4 5
1, 2, 1970-01-01T00:00:00Z, 1970-01-01T00:01:00Z; 
1, 3, 1970-01-01T00:00:00Z, 1970-01-01T00:01:00Z; 
2, 3, 1970-01-01T00:00:00Z, 1970-01-01T00:01:00Z; 
4, 5, 1970-01-01T00:01:00Z, 1970-01-01T00:01:45Z; 
4, 5, 1970-01-01T00:01:30Z, 1970-01-01T00:02:15Z; 
1, 2, 1970-01-01T00:02:00Z, 1970-01-01T00:03:00Z; 
1, 3, 1970-01-01T00:02:00Z, 1970-01-01T00:03:00Z; 
2, 3, 1970-01-01T00:02:00Z, 1970-01-01T00:03:00Z; 
4, 5, 1970-01-01T00:02:00Z, 1970-01-01T00:02:45Z; 
4, 5, 1970-01-01T00:02:30Z, 1970-01-01T00:03:15Z; 
